,305,P  ,39,2,0
,306,P  ,39,4,0
,307,P  ,39,8,0
,308,P  ,39,16,0
,309,P  ,39,32,0
,310,P  ,39,64,0
,311,P  ,39,128,0
,312,P  ,40,1,0
,313,P  ,40,2,0
,314,P  ,40,4,0
,315,P  ,40,8,0
,316,P  ,40,16,0
,317,P  ,40,32,0
,318,P  ,40,64,0
,319,P  ,40,128,0
,320,P  ,41,1,0
,321,P  ,41,2,0
,322,P  ,41,4,0
,323,P  ,41,8,0
,324,P  ,41,16,0
,325,P  ,41,32,0
,326,P  ,41,64,0
,327,P  ,41,128,0
,328,P  ,42,1,0
,329,P  ,42,2,0
,330,P  ,42,4,0
,331,P  ,42,8,0
,332,P  ,42,16,0
,333,P  ,42,32,0
,334,P  ,42,64,0
,335,P  ,42,128,0
,336,P  ,43,1,0
,337,P  ,43,2,0
,338,P  ,43,4,0
,339,P  ,43,8,0
,340,P  ,43,16,0
,341,P  ,43,32,0
,342,P  ,43,64,0
,343,P  ,43,128,0
,344,P  ,44,1,0
,345,P  ,44,2,0
,346,P  ,44,4,0
,347,P  ,44,8,0
,348,P  ,44,16,0
,349,P  ,44,32,0
,350,P  ,44,64,0
,351,P  ,44,128,0
,352,P  ,45,1,0
,353,P  ,45,2,0
,354,P  ,45,4,0
,355,P  ,45,8,0
,356,P  ,45,16,0
,357,P  ,45,32,0
,358,P  ,45,64,0
,359,P  ,45,128,0
,360,P  ,46,1,0
,361,P  ,46,2,0
,362,P  ,46,4,0
,363,P  ,46,8,0
,364,P  ,46,16,0
,365,P  ,46,32,0
,366,P  ,46,64,0
,367,P  ,46,128,0
,368,P  ,47,1,0
,369,P  ,47,2,0
,370,P  ,47,4,0
,371,P  ,47,8,0
,372,P  ,47,16,0
,373,P  ,47,32,0
,374,P  ,47,64,0
,375,P  ,47,128,0
,376,P  ,48,1,0
,377,P  ,48,2,0
,378,P  ,48,4,0
,379,P  ,48,8,0
,380,P  ,48,16,0
,381,P  ,48,32,0
,382,P  ,48,64,0
,383,P  ,48,128,0
,384,P  ,49,1,0
,385,P  ,49,2,0
,386,P  ,49,4,0
,387,P  ,49,8,0
,388,P  ,49,16,0
,389,P  ,49,32,0
,390,P  ,49,64,0
,391,P  ,49,128,0
,392,P  ,50,1,0
,393,P  ,50,2,0
,394,P  ,50,4,0
,395,P  ,50,8,0
,396,P  ,50,16,0
,397,P  ,50,32,0
,398,P  ,50,64,0
,399,P  ,50,128,0
,400,P  ,51,1,0
,401,P  ,51,2,0
,402,P  ,51,4,0
,403,P  ,51,8,0
,404,P  ,51,16,0
,405,P  ,51,32,0
,406,P  ,51,64,0
,407,P  ,51,128,0
,408,P  ,52,1,0
,409,P  ,52,2,0
,410,P  ,52,4,0
,411,P  ,52,8,0
,412,P  ,52,16,0
,413,P  ,52,32,0
,414,P  ,52,64,0
,415,P  ,52,128,0
